Date: 05/07/2021

17:19:12 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:12 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:12 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:13 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:13 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:13 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:14 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:14 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:14 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:15 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:15 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:16 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:16 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:16 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:17 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:17 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:17 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:18 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:18 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:18 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:19 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:19 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:19 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:20 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:20 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:21 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:21 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:21 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:22 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:22 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
17:19:22 - mote: (00-17-0d-00-00-32-dc-61), sampled: [0, 0, 0, 0, 0, 0, 0, 0, 0, 2748]
